Stock Index,Stock Price
AC3357,634.7462
AC3358,1586.6377
AC3359,1335.9445
AC3360,1172.7133
AC3361,224.76067
AC3362,368.6799
AC3363,476.65198
AC3364,413.7605
AC3365,99.53093
AC3366,346.51633
AC3367,242.85283
AC3368,786.42694
AC3369,326.1541
AC3370,580.3229
AC3371,349.6086
AC3372,470.12817
AC3373,224.73198
AC3374,346.75027
AC3375,1062.8314
AC3376,435.79712
AC3377,191.42805
AC3378,420.32767
AC3379,626.8045
AC3380,140.04784
AC3381,434.32837
AC3382,580.2252
AC3383,136.3766
AC3384,257.40024
AC3385,245.63393
AC3386,109.50221
AC3387,272.31653
AC3388,1686.1713
AC3389,318.67667
AC3390,232.27647
AC3391,814.8314
AC3392,615.3047
AC3393,447.8756
AC3394,493.4382
AC3395,1465.6842
AC3396,60.72603
AC3397,709.27563
AC3398,415.12683
AC3399,72.906906
AC3400,173.34258
AC3401,126.7816
AC3402,462.7948
AC3403,259.96222
AC3404,239.26729
AC3405,117.935165
AC3406,271.31894
AC3407,172.53325
AC3408,695.1032
AC3409,1235.2871
AC3410,966.0025
AC3411,969.31934
AC3412,1512.4507
AC3413,177.4164
AC3414,325.7331
AC3415,184.29494
AC3416,541.7677
AC3417,868.44696
AC3418,147.1703
AC3419,1286.8467
AC3420,195.00368
AC3421,218.40855
AC3422,856.20917
AC3423,104.11299
AC3424,1157.4701
AC3425,264.68622
AC3426,80.274796
AC3427,355.01166
AC3428,788.9598
AC3429,688.512
AC3430,335.2183
AC3431,489.16864
AC3432,510.26395
AC3433,204.70238
AC3434,848.78094
AC3435,1072.4966
AC3436,428.9373
AC3437,147.74947
AC3438,1524.5444
AC3439,152.62642
AC3440,1246.4225
AC3441,413.50766
AC3442,42.069504
AC3443,626.2471
AC3444,162.8737
AC3445,116.97127
AC3446,790.70087
AC3447,894.2205
AC3448,159.13634
AC3449,1083.5161
AC3450,210.72484
AC3451,1051.8932
AC3452,720.11664
AC3453,661.0
AC3454,81.352615
AC3455,722.1693
AC3456,157.07893
AC3457,614.3392
AC3458,714.0199
AC3459,1790.7039
AC3460,527.0605
AC3461,576.5351
AC3462,480.83334
AC3463,1253.6213
AC3464,415.84
AC3465,633.59515
AC3466,142.84627
AC3467,145.15727
AC3468,1259.2491
AC3469,317.05615
AC3470,375.05737
AC3471,705.59686
AC3472,218.60646
AC3473,433.3136
AC3474,433.59122
AC3475,104.46843
AC3476,564.6243
AC3477,828.04755
AC3478,118.75893
AC3479,206.22298
AC3480,157.3712
AC3481,1116.7079
AC3482,391.72644
AC3483,1016.76746
AC3484,947.09216
AC3485,766.783
AC3486,111.71831
AC3487,241.45018
AC3488,1714.0541
AC3489,820.43536
AC3490,1533.0636
AC3491,245.85063
AC3492,980.6113
AC3493,82.78999
AC3494,1029.595
AC3495,137.35121
AC3496,1321.4688
AC3497,407.7926
AC3498,58.384476
AC3499,385.7268
AC3500,110.39879
AC3501,227.59288
AC3502,260.16434
AC3503,292.31323
AC3504,1087.8291
AC3505,1153.7949
AC3506,454.63193
AC3507,845.5877
AC3508,879.97736
AC3509,369.94174
AC3510,1238.9303
AC3511,991.8776
AC3512,914.496
AC3513,545.6175
AC3514,167.32942
AC3515,930.0902
AC3516,551.21454
AC3517,513.0285
AC3518,565.9374
AC3519,973.5629
AC3520,1777.5756
AC3521,776.53595
AC3522,1257.9323
AC3523,1011.4536
AC3524,1203.6614
AC3525,813.53705
AC3526,463.04712
AC3527,100.78664
AC3528,93.839035
AC3529,976.8258
AC3530,489.89856
AC3531,612.7214
AC3532,771.93616
AC3533,527.61017
AC3534,818.0809
AC3535,920.60675
AC3536,225.15892
AC3537,145.60506
AC3538,821.1344
AC3539,1215.9681
AC3540,364.69858
AC3541,505.0804
AC3542,317.35138
AC3543,1045.4384
AC3544,445.58325
AC3545,448.13495
AC3546,446.63815
AC3547,588.1702
AC3548,91.9897
AC3549,1590.8711
AC3550,812.9012
AC3551,652.2992
AC3552,350.10516
AC3553,864.84064
AC3554,310.84348
AC3555,234.0757
AC3556,1036.0582
AC3557,629.84937
AC3558,1274.6058
AC3559,527.5357
AC3560,156.30302
AC3561,186.64302
AC3562,795.1876
AC3563,1065.8716
AC3564,1479.6691
AC3565,691.80524
AC3566,324.9359
AC3567,259.36993
AC3568,162.27742
AC3569,361.07217
AC3570,784.94244
AC3571,617.56995
AC3572,456.0404
AC3573,1304.186
AC3574,670.7858
AC3575,161.19902
AC3576,555.11206
AC3577,1695.9584
AC3578,134.5324
AC3579,1425.9952
AC3580,114.53801
AC3581,92.62187
AC3582,277.40686
AC3583,692.0726
AC3584,170.65468
AC3585,117.02208
AC3586,413.06967
AC3587,29.368273
AC3588,223.66368
AC3589,153.24107
AC3590,318.49142
AC3591,379.35785
AC3592,309.90942
AC3593,74.583694
AC3594,131.5067
AC3595,393.27716
AC3596,843.23285
AC3597,92.3246
AC3598,204.47035
AC3599,1151.1428
AC3600,1272.4514
AC3601,967.2946
AC3602,781.6268
AC3603,1679.9932
AC3604,305.80063
AC3605,778.28864
AC3606,1222.5012
AC3607,53.995102
AC3608,1030.5596
AC3609,499.85654
AC3610,179.13338
AC3611,663.6083
AC3612,100.27348
AC3613,1199.8745
AC3614,447.57364
AC3615,456.35614
AC3616,309.56558
AC3617,1274.9072
AC3618,116.04668
AC3619,246.93498
AC3620,240.8102
AC3621,820.1775
AC3622,287.9539
AC3623,346.4072
AC3624,724.78906
AC3625,284.60242
AC3626,83.98003
AC3627,658.7668
AC3628,56.957626
AC3629,64.92287
AC3630,596.01794
AC3631,48.978745
AC3632,159.03004
AC3633,287.06302
AC3634,1460.0115
AC3635,287.91507
AC3636,1145.8801
AC3637,367.44974
AC3638,1009.3792
AC3639,186.96959
AC3640,915.42847
AC3641,551.51794
AC3642,124.65474
AC3643,620.1876
AC3644,718.9441
AC3645,1143.6371
AC3646,697.92535
AC3647,389.50143
AC3648,259.9806
AC3649,420.50223
AC3650,674.0091
AC3651,1336.3956
AC3652,375.89572
AC3653,604.43787
AC3654,1172.1593
AC3655,395.64252
AC3656,348.03873
AC3657,910.8711
AC3658,900.9372
AC3659,529.44727
AC3660,129.27306
AC3661,137.21263
AC3662,330.38007
AC3663,773.183
AC3664,417.00424
AC3665,861.52527
AC3666,406.29123
AC3667,624.2304
AC3668,1240.626
AC3669,1178.7747
AC3670,492.28726
AC3671,84.369736
AC3672,360.722
AC3673,891.54785
AC3674,889.2663
AC3675,591.7195
AC3676,1358.0516
AC3677,1061.5995
AC3678,1203.782
AC3679,435.48947
AC3680,651.946
AC3681,597.64136
AC3682,253.455
AC3683,511.49173
AC3684,473.53265
AC3685,159.80489
AC3686,288.53506
AC3687,815.7497
AC3688,215.26457
AC3689,809.74194
AC3690,648.25
AC3691,492.85803
AC3692,214.86757
AC3693,150.48122
AC3694,234.39516
AC3695,221.41414
AC3696,132.90025
AC3697,356.4151
AC3698,137.24306
AC3699,125.10048
AC3700,1175.3923
AC3701,267.99152
AC3702,444.56195
AC3703,170.04845
AC3704,257.4417
AC3705,672.6255
AC3706,653.88007
AC3707,1515.8784
AC3708,1247.8895
AC3709,526.8904
AC3710,112.169876
AC3711,978.09644
AC3712,349.1662
AC3713,956.0781
AC3714,1514.2361
AC3715,1335.2048
AC3716,228.7324
AC3717,792.58624
AC3718,1263.4548
AC3719,1030.1862
AC3720,141.64006
AC3721,300.6978
AC3722,1535.8263
AC3723,592.41614
AC3724,84.30107
AC3725,972.5248
AC3726,104.059494
AC3727,583.0412
AC3728,295.53802
AC3729,345.59875
AC3730,584.26086
AC3731,1007.9354
AC3732,521.86163
AC3733,144.72948
AC3734,460.36667
AC3735,354.17957
AC3736,737.0774
AC3737,495.24582
AC3738,367.75647
AC3739,73.25554
AC3740,410.55188
AC3741,759.2661
AC3742,730.18164
AC3743,854.58203
AC3744,59.810593
AC3745,102.430405
AC3746,350.86432
AC3747,415.1785
AC3748,132.53233
AC3749,508.12268
AC3750,1461.4536
AC3751,55.26494
AC3752,111.830215
AC3753,372.6876
AC3754,684.7136
AC3755,67.638626
AC3756,390.5259
AC3757,377.39407
AC3758,376.15707
AC3759,538.89026
AC3760,224.8184
AC3761,437.4104
AC3762,507.47208
AC3763,899.20526
AC3764,475.8656
AC3765,284.85205
AC3766,457.60165
AC3767,78.37654
AC3768,1048.1152
AC3769,1069.5847
AC3770,143.6617
AC3771,708.0335
AC3772,450.9983
AC3773,76.933334
AC3774,272.99216
AC3775,37.232285
AC3776,285.3118
AC3777,99.12782
AC3778,886.21704
AC3779,1762.6669
AC3780,117.0453
AC3781,638.174
AC3782,122.72185
AC3783,627.9484
AC3784,324.78622
AC3785,380.87946
AC3786,425.12625
AC3787,214.33351
AC3788,735.0624
AC3789,1387.1342
AC3790,861.7614
AC3791,205.68199
AC3792,880.6207
AC3793,272.48837
AC3794,837.8118
AC3795,489.51022
AC3796,320.64108
AC3797,125.648575
AC3798,621.9341
AC3799,1043.9042
AC3800,57.469833
AC3801,98.02751
AC3802,250.55928
AC3803,79.50319
AC3804,14.165025
AC3805,26.921556
AC3806,761.4483
AC3807,152.48012
AC3808,1430.2932
AC3809,197.94707
AC3810,508.4478
AC3811,332.37903
AC3812,546.87946
AC3813,674.2578
AC3814,763.7433
AC3815,137.16106
AC3816,850.6357
AC3817,329.60635
AC3818,1624.8876
AC3819,76.35869
AC3820,157.66164
AC3821,241.822
AC3822,224.16023
AC3823,432.65405
AC3824,439.35458
AC3825,396.44528
AC3826,419.42117
AC3827,555.0821
AD1,138.90721
AD2,396.514
AD3,73.682816
AD4,638.69946
AD5,112.91225
AD6,149.26866
AD7,376.04636
AD8,721.9381
AD9,641.1284
AD10,347.48193
AD11,145.14436
AD12,142.10432
AD13,775.98645
AD14,710.6569
AD15,1004.352
AD16,633.826
AD17,787.60565
AD18,568.2917
AD19,1532.5667
AD20,227.26244
AD21,813.7624
AD22,1350.0839
AD23,1639.8793
AD24,303.26358
AD25,755.9332
AD26,567.1349
AD27,376.38074
AD28,272.69214
AD29,757.31445
AD30,1091.0206
AD31,257.8489
AD32,396.52014
AD33,497.0907
AD34,216.22136
AD35,716.2378
AD36,187.78508
AD37,43.683884
AD38,1461.9172
AD39,798.14026
AD40,469.12103
AD41,65.17122
AD42,194.22566
AD43,141.16167
AD44,814.0501
AD45,1725.5626
AD46,507.0424
AD47,215.8571
AD48,147.42613
AD49,253.02477
AD50,553.07513
AD51,56.149216
AD52,83.56651
AD53,519.9738
AD54,140.18672
AD55,592.696
AD56,1075.5154
AD57,825.06696
AD58,1132.8126
AD59,657.07733
AD60,626.9896
AD61,802.9387
AD62,1654.4746
AD63,714.7851
AD64,983.18604
AD65,186.91487
AD66,401.11505
AD67,138.90932
AD68,1114.1599
AD69,197.37163
AD70,27.754015
AD71,471.49304
AD72,703.7492
AD73,300.35364
AD74,202.34071
AD75,764.9564
AD76,1332.7496
AD77,274.68942
AD78,451.82867
AD79,1508.3572
AD80,748.2807
AD81,1182.1575
AD82,762.04626
AD83,104.74016
AD84,496.5562
AD85,1005.3807
AD86,503.32196
AD87,552.9562
AD88,661.7312
AD89,98.31596
AD90,811.5598
AD91,1390.3151
AD92,186.80058
AD93,548.45197
AD94,517.45325
AD95,159.42802
AD96,697.9924
AD97,351.7686
AD98,1035.3677
AD99,53.632187
AD100,801.4361
AD101,207.5019
AD102,107.067856
AD103,159.83403
AD104,255.98643
AD105,928.7447
AD106,893.2971
AD107,1230.9093
AD108,1188.7861
AD109,135.27092
AD110,673.1281
AD111,496.92426
AD112,1190.5544
AD113,362.04565
AD114,271.08118
AD115,342.4176
AD116,636.3269
AD117,803.38226
AD118,129.02959
AD119,353.5591
AD120,91.16777
AD121,108.27995
AD122,620.17035
AD123,33.730576
AD124,562.7497
AD125,613.9645
AD126,439.38962
AD127,1241.7611
AD128,411.5762
AD129,735.3451
AD130,271.47513
AD131,788.5225
AD132,504.601
AD133,743.11194
AD134,342.43927
AD135,1550.5925
AD136,766.34503
AD137,508.63544
AD138,844.288
AD139,1427.24
AD140,398.86276
AD141,112.93767
AD142,780.1514
AD143,141.75499
AD144,124.60115
AD145,187.98824
AD146,1153.6927
AD147,925.57587
AD148,801.7798
AD149,1076.0859
AD150,737.52997
AD151,239.82262
AD152,1139.6296
AD153,434.3715
AD154,419.46463
AD155,444.67517
AD156,122.46367
AD157,1359.9365
AD158,413.90475
AD159,793.98535
AD160,1194.871
AD161,648.88684
AD162,180.16862
AD163,511.53845
AD164,817.98926
AD165,603.5393
AD166,427.00537
AD167,433.13873
AD168,452.9993
AD169,826.5909
AD170,80.92934
AD171,747.0449
AD172,229.51726
AD173,625.06464
AD174,668.0218
AD175,352.87064
AD176,342.44153
AD177,435.15228
AD178,1223.7535
AD179,884.71344
AD180,73.49123
AD181,1320.6542
AD182,249.69774
AD183,76.15633
AD184,1340.0396
AD185,465.31516
AD186,1286.9777
AD187,537.564
AD188,84.13817
AD189,1101.9003
AD190,381.03107
AD191,118.839035
AD192,642.4079
AD193,39.332687
AD194,355.62875
AD195,561.9841
AD196,810.057
AD197,1171.0875
AD198,190.52434
AD199,122.117874
AD200,625.2671
AD201,1203.4052
AD202,102.56358
AD203,545.1197
AD204,1136.6833
AD205,229.27306
AD206,316.73245
AD207,812.13806
AD208,725.697
AD209,635.51404
AD210,1869.5386
AD211,422.02814
AD212,1226.9818
AD213,1279.4174
AD214,432.88876
AD215,621.75916
AD216,61.04222
AD217,1424.7145
AD218,846.6268
AD219,366.64203
AD220,425.0656
AD221,470.23645
AD222,1220.8373
AD223,51.457626
AD224,826.54926
AD225,452.85822
AD226,1702.9044
AD227,555.0076
AD228,268.26306
AD229,392.49136
AD230,429.0279
AD231,471.8152
AD232,857.5424
AD233,586.5634
AD234,553.98566
AD235,281.7321
AD236,326.418
AD237,409.85638
AD238,722.41626
AD239,845.797
AD240,1567.9592
AD241,604.91205
AD242,90.981125
AD243,886.3894
AD244,625.5532
AD245,308.73816
AD246,603.9247
AD247,1408.7394
AD248,725.2235
AD249,308.92175
AD250,786.51416
AD251,636.013
AD252,1363.8905
AD253,154.30904
AD254,80.97624
AD255,652.48663
AD256,129.36635
AD257,1706.1857
AD258,580.9498
AD259,216.3387
AD260,712.5372
AD261,143.61522
AD262,62.443253
AD263,677.4709
AD264,334.30112
AD265,742.25964
AD266,320.49963
AD267,124.77263
AD268,1060.6455
AD269,765.35144
AD270,1472.8351
AD271,209.38368
AD272,521.67975
AD273,90.91652
AD274,266.0355
AD275,859.2644
AD276,176.61015
AD277,61.705
AD278,762.52997
AD279,293.88052
AD280,790.79425
AD281,419.72812
AD282,1386.9325
AD283,140.64897
AD284,76.54942
AD285,221.25423
AD286,86.84862
AD287,545.4406
AD288,283.2435
AD289,96.95253
AD290,1690.2482
AD291,161.04063
AD292,790.7459
AD293,744.55347
AD294,800.7236
AD295,283.5482
AD296,517.47296
AD297,50.822372
AD298,743.62006
AD299,873.7967
AD300,319.81116
AD301,156.68303
AD302,377.841
AD303,507.4677
AD304,899.89777
AD305,593.55414
AD306,394.30707
AD307,199.15282
AD308,410.78116
AD309,213.03856
AD310,558.60645
AD311,712.5166
AD312,1835.2279
AD313,1400.4075
AD314,149.36287
AD315,723.7333
AD316,556.45123
AD317,1250.6265
AD318,512.9255
AD319,322.1385
AD320,460.5558
AD321,1112.2393
AD322,355.6932
AD323,60.260513
AD324,685.5182
AD325,1247.0338
AD326,463.73062
AD327,1300.2412
AD328,378.6381
AD329,1162.895
AD330,818.0039
AD331,457.945
AD332,463.00757
AD333,407.28113
AD334,370.1649
AD335,261.22986
AD336,89.35997
AD337,496.07007
AD338,227.62749
AD339,1192.8381
AD340,495.38763
AD341,410.2127
AD342,399.97
AD343,74.00328
AD344,1404.3657
AD345,168.54668
AD346,503.39902
AD347,973.2977
AD348,180.94292
AD349,880.6039
AD350,712.9011
AD351,638.89484
AD352,483.96597
AD353,410.037
AD354,445.4678
AD355,1567.4218
AD356,436.03046
AD357,73.464554
AD358,517.2827
AD359,140.67516
AD360,774.76465
AD361,150.8759
AD362,167.64006
AD363,903.1775
AD364,651.5509
AD365,198.60045
AD366,161.61244
AD367,267.5643
AD368,146.94463
AD369,430.14252
AD370,539.0973
AD371,67.56163
AD372,1402.7822
AD373,1422.2354
AD374,213.63725
AD375,794.0367
AD376,692.9605
AD377,1809.336
AD378,257.146
AD379,1242.9805
AD380,106.231155
AD381,238.13734
AD382,269.45483
AD383,197.60905
AD384,139.06401
AD385,184.30302
AD386,743.2085
AD387,286.28146
AD388,858.1982
AD389,737.18115
AD390,652.5401
AD391,772.89624
AD392,868.983
AD393,1387.5125
AD394,133.31786
AD395,332.43546
AD396,169.76558
AD397,910.195
AD398,436.64255
AD399,1309.684
AD400,197.2285
AD401,830.0939
AD402,238.8644
AD403,771.70355
AD404,1272.5671
AD405,309.71393
AD406,268.02652
AD407,457.95142
AD408,318.0616
AD409,45.541306
AD410,270.81522
AD411,997.9526
AD412,209.38182
AD413,83.15956
AD414,386.64838
AD415,598.5808
AD416,232.4232
AD417,546.20374
AD418,345.58267
AD419,487.93887
AD420,189.68996
AD421,623.0339
AD422,46.533432
AD423,891.24335
AD424,365.3435
AD425,582.22955
AD426,361.6684
AD427,423.1156
AD428,1202.2994
AD429,280.2118
AD430,262.43362
AD431,483.50085
AD432,364.45804
AD433,1372.9305
AD434,417.01605
AD435,630.50055
AD436,82.920456
AD437,236.60805
AD438,489.30127
AD439,82.576645
AD440,84.781265
AD441,449.3953
AD442,372.02557
AD443,462.12515
AD444,282.11426
AD445,944.86334
AD446,278.66843
AD447,1123.6853
AD448,170.40181
AD449,800.9889
AD450,894.8252
AD451,1118.1056
AD452,635.91547
AD453,358.74088
AD454,497.7366
AD455,726.1295
AD456,259.83813
AD457,177.29256
AD458,58.814346
AD459,229.41978
AD460,1636.5751
AD461,1444.9688
AD462,580.232
AD463,1564.8632
AD464,546.5584
AD465,58.024918
AD466,1327.59
AD467,1123.9221
AD468,171.58208
AD469,351.06702
AD470,1490.0929
AD471,402.04102
AD472,567.8381
AD473,213.53877
AD474,654.9668
AD475,920.61224
AD476,1724.6946
AD477,873.67126
AD478,169.57591
AD479,489.504
AD480,193.58528
AD481,575.0285
AD482,300.0827
AD483,570.2084
AD484,1358.8059
AD485,1395.094
AD486,114.39366
AD487,353.17416
AD488,613.0267
AD489,905.72034
AD490,850.74084
AD491,123.58275
AD492,79.403
AD493,782.2077
AD494,554.08984
AD495,552.5483
AD496,1244.6808
AD497,1235.3362
AD498,1214.6014
AD499,1238.8529
AD500,1232.5037
AD501,1226.3589
AD502,1235.8899
AD503,1214.1455
AD504,1238.796
AD505,1217.1482
AD506,1179.4287
AD507,192.06685
AD508,668.5719
AD509,685.4759
AD510,131.58134
AD511,99.318375
AD512,497.38583
AD513,328.15976
AD514,86.19588
AD515,128.81508
AD516,368.37714
AD517,324.5177
AD518,825.5656
AD519,997.2292
AD520,784.89044
AD521,1849.1388
AD522,645.95685
AD523,234.49083
AD524,807.358
AD525,133.36263
AD526,343.56238
AD527,331.52063
AD528,98.342545
AD529,157.56151
AD530,1254.9603
AD531,94.59602
AD532,166.40767
AD533,826.3718
AD534,681.2751
AD535,1182.46
AD536,121.606766
AD537,154.90715
AD538,1082.2941
AD539,570.08813
AD540,122.10924
AD541,541.3597
AD542,589.0671
AD543,346.61105
AD544,183.7624
AD545,1575.2699
AD546,42.29863
AD547,359.87943
AD548,299.7899
AD549,962.93427
AD550,331.04413
AD551,792.37604
AD552,359.20132
AD553,121.71855
AD554,587.17786
AD555,356.9319
AD556,365.66684
AD557,411.28738
AD558,447.71927
AD559,1232.9373
AD560,268.28162
AD561,150.71278
AD562,1279.3707
AD563,329.35913
AD564,233.97588
AD565,414.6366
AD566,697.9393
AD567,1170.9457
AD568,489.66797
AD569,201.33702
AD570,902.3052
AD571,1122.9761
AD572,796.79565
AD573,664.3347
AD574,1109.1313
AD575,854.8917
AD576,33.69243
AD577,506.7458
AD578,1220.3806
AD579,821.5257
AD580,301.05414
AD581,156.44826
AD582,175.12032
AD583,1545.3813
AD584,683.3975
AD585,118.684525
AD586,345.14502
AD587,713.0681
AD588,174.06392
AD589,253.6068
AD590,835.93036
AD591,708.1097
AD592,332.71686
AD593,920.3496
AD594,312.69922
AD595,945.55945
AD596,1041.5428
AD597,1728.5244
AD598,1319.9211
AD599,412.6615
AD600,324.12497
AD601,193.26176
AD602,707.15265
AD603,253.67638
AD604,140.32112
AD605,677.8275
AD606,957.48413
AD607,153.22691
AD608,467.22763
AD609,691.1879
AD610,21.504564
AD611,517.55865
AD612,872.5832
AD613,820.8496
AD614,681.4945
AD615,299.0763
AD616,304.55728
AD617,301.88293
AD618,111.40163
AD619,406.69568
AD620,822.59436
AD621,751.4134
AD622,73.52257
AD623,978.32336
AD624,956.28204
AD625,446.01248
AD626,421.20532
AD627,739.1552
AD628,242.14641
AD629,593.9949
AD630,406.60495
AD631,517.8912
AD632,150.62505
AD633,104.91353
AD634,83.67641
AD635,165.22975
AD636,452.0506
AD637,187.25264
AD638,438.77072
AD639,451.4525
AD640,204.03432
AD641,685.2277
AD642,624.6966
AD643,571.4169
AD644,104.28722
AD645,725.2965
AD646,871.82996
AD647,178.43776
AD648,566.1013
AD649,279.4802
AD650,422.3297
AD651,1172.546
AD652,632.7572
AD653,381.06638
AD654,554.4576
AD655,347.1413
AD656,749.6351
AD657,848.38416
AD658,241.75102
AD659,1366.1843
AD660,249.30385
AD661,1349.8893
AD662,249.55125
AD663,165.53429
AD664,350.1202
AD665,169.9869
AD666,419.3133
AD667,183.661
AD668,346.9603
AD669,308.69623
AD670,1405.6162
AD671,658.7192
AD672,603.06757
AD673,994.3855
AD674,476.40668
AD675,285.5548
AD676,1003.17584
AD677,469.2689
AD678,663.69476
AD679,81.19002
AD680,918.3476
AD681,1773.6016
AD682,639.94934
AD683,913.2806
AD684,340.6316
AD685,1729.451
AD686,1278.5714
AD687,425.94843
AD688,1717.6417
AD689,393.74875
AD690,394.8356
AD691,1076.6257
AD692,391.1069
AD693,82.73183
AD694,72.70415
AD695,690.48676
AD696,868.30945
AD697,422.4282
AD698,972.71136
AD699,977.7797
AD700,119.55391
AD701,969.2152
AD702,1003.212
AD703,536.4529
AD704,394.6302
AD705,177.85289
AD706,172.42763
AD707,853.3289
AD708,711.633
AD709,478.23575
AD710,118.77339
AD711,478.0886
AD712,491.93845
AD713,160.18752
AD714,22.417894
AD715,247.3073
AD716,504.08157
AD717,207.941
AD718,510.98254
AD719,1036.3071
AD720,91.27406
AD721,292.35828
AD722,753.54755
AD723,211.99498
AD724,528.88855
AD725,444.90955
AD726,507.76508
AD727,1342.9181
AD728,880.0164
AD729,790.15094
AD730,971.4916
AD731,413.27023
AD732,249.54387
AD733,555.54553
AD734,448.35605
AD735,344.2101
AD736,603.5053
AD737,1276.5256
AD738,410.26062
AD739,817.56415
AD740,506.05746
AD741,146.77946
AD742,887.1871
AD743,455.0723
AD744,1384.7596
AD745,107.39287
AD746,99.295334
AD747,1235.7769
AD748,956.1693
AD749,661.4268
AD750,310.01315
AD751,1133.8966
AD752,194.24037
AD753,82.94032
AD754,831.9959
AD755,424.76773
AD756,392.5233
AD757,844.16406
AD758,780.7397
AD759,703.2504
AD760,98.78035
AD761,1225.226
AD762,712.56226
AD763,576.8171
AD764,191.73344
AD765,81.71092
AD766,438.6791
AD767,290.96152
AD768,175.7932
AD769,65.57619
AD770,198.63737
AD771,68.50145
AD772,261.95325
AD773,283.33386
AD774,464.81058
AD775,224.59416
AD776,930.07947
AD777,602.07214
AD778,641.4008
AD779,689.5479
AD780,808.1188
AD781,476.7222
AD782,543.20044
AD783,505.1598
AD784,505.34875
AD785,70.77248
AD786,335.26642
AD787,353.32883
AD788,296.97446
AD789,819.5584
AD790,212.16838
AD791,995.4613
AD792,1112.9818
AD793,1767.2454
AD794,463.6162
AD795,1048.6277
AD796,726.46674
AD797,1251.2535
AD798,191.6385
AD799,230.6791
AD800,1427.0922
AD801,1259.8862
AD802,285.31656
AD803,737.99243
AD804,149.65648
AD805,879.39954
AD806,143.75578
AD807,1112.0713
AD808,331.12448
AD809,392.6207
AD810,350.30798
AD811,197.91328
AD812,820.7474
AD813,487.25037
AD814,1207.79
AD815,262.47174
AD816,1278.138
AD817,48.304855
AD818,521.03705
AD819,54.02977
AD820,1104.3367
AD821,406.08896
AD822,908.0659
AD823,885.84766
AD824,1026.7826
AD825,333.2768
AD826,334.77505
AD827,589.9203
AD828,330.58514
AD829,551.04065
AD830,210.67293
AD831,67.76643
AD832,131.23103
AD833,349.6166
AD834,225.80272
AD835,700.8906
AD836,189.93752
AD837,735.60175
AD838,684.5458
AD839,1672.7297
AD840,372.0224
AD841,430.68887
AD842,261.70123
AD843,701.34375
AD844,897.75586
AD845,580.7275
AD846,550.94116
AD847,476.33682
AD848,357.7641
AD849,1083.3141
AD850,175.94875
AD851,629.92633
AD852,179.04408
AD853,516.18427
AD854,997.3475
AD855,198.35893
AD856,1248.6135
AD857,344.3498
AD858,216.03572
AD859,778.0026
AD860,1587.6436
AD861,364.56564
AD862,501.84006
AD863,1303.7288
AD864,91.379745
AD865,637.2518
AD866,975.96136
AD867,172.41487
AD868,238.77586
AD869,767.37915
AD870,1350.8003
AD871,551.7927
AD872,460.84943
AD873,152.48012
AD874,585.13416
AD875,156.56725
